Codigo,Nombre,Provincia,Superficie,Poblacion_2012,Densidad,IDH_2005
07309,Vichuquén,Curicó,426.0,4335,11.5,0.678
07401,Linares,Linares,1466.0,107311,73.1,0.710
07402,Colbún,Linares,2900.0,19361,6.0,0.638
07403,Longaví,Linares,1454.0,28968,19.3,0.626
07404,Parral,Linares,1638.0,39404,23.2,0.656
07405,Retiro,Linares,827.0,18760,22.0,0.649
07406,San Javier,Linares,1313.0,40881,31.0,0.654
07407,Villa Alegre,Linares,190.0,15428,77.5,0.648
07408,Yerbas Buenas,Linares,262.0,17158,61.5,0.640
08101,Concepción,Concepción,221.6,227768,1027.8,0.757
08102,Coronel,Concepción,279.4,107508,384.8,0.682
08103,Chiguayante,Concepción,71.5,115366,1613.5,0.764
08104,Florida,Concepción,608.6,9867,16.2,0.604
08105,Hualqui,Concepción,530.5,21934,41.3,0.666
08106,Lota,Concepción,135.8,48045,353.8,0.643
08107,Penco,Concepción,107.6,52389,486.9,0.689
08108,San Pedro de La Paz,Concepción,112.5,94827,842.9,0.787
08109,Santa Juana,Concepción,731.2,13331,18.2,0.626
08110,Talcahuano,Concepción,92.3,171673,1859.9,0.731
08111,Tomé,Concepción,494.5,55764,112.8,0.668
08112,Hualpén,Concepción,53.5,86176,1610.8,
08201,Lebu,Arauco,561.4,25790,45.9,0.633
08202,Arauco,Arauco,956.1,41153,43.0,0.704
08203,Cañete,Arauco,1089.2,33535,30.8,0.641
08204,Contulmo,Arauco,638.8,5188,8.1,0.603
08205,Curanilahue,Arauco,994.3,33855,31.0,0.643
08206,Los Álamos,Arauco,599.1,20723,34.6,0.645
08207,Tirúa,Arauco,624.4,10859,17.4,0.584
08301,Los Ángeles,Biobío,1748.2,195813,112.0,0.696
08302,Antuco,Biobío,1884.1,3774,2.0,0.662
08303,Cabrero,Biobío,639.8,29532,46.2,0.635
08304,Laja,Biobío,339.8,20964,61.7,0.665
08305,Mulchén,Biobío,1925.3,28517,14.8,0.639
08306,Nacimiento,Biobío,934.9,26145,28.0,0.656
08307,Negrete,Biobío,156.5,8933,57.1,0.629
08308,Quilaco,Biobío,1123.7,3722,3.3,0.635
08309,Quilleco,Biobío,1121.8,10396,9.3,0.641
08310,San Rosendo,Biobío,92.4,3627,39.3,0.647
08311,Santa Bárbara,Biobío,1254.9,14612,11.6,0.637
08312,Tucapel,Biobío,914.9,13442,14.7,0.655
08313,Yumbel,Biobío,727.0,20572,28.3,0.597
08314,Alto Biobío,Biobío,2124.6,10039,4.7,
08401,Chillán,Ñuble,511.2,175585,343.5,0.714
08402,Bulnes,Ñuble,425.4,21542,50.6,0.626
08403,Cobquecura,Ñuble,570.3,5173,9.1,0.633
08404,Coelemu,Ñuble,342.3,15461,45.2,0.611
08405,Coihueco,Ñuble,1776.6,24714,13.9,0.639
08406,Chillán Viejo,Ñuble,291.8,29199,100.1,0.732
08407,El Carmen,Ñuble,664.3,11830,17.8,0.611
08408,Ninhue,Ñuble,401.2,5278,13.2,0.569
08409,Ñiquén,Ñuble,493.1,10063,20.4,0.629
08410,Pemuco,Ñuble,562.7,9120,16.2,0.631
08411,Pinto,Ñuble,1164.0,10883,9.3,0.618
08412,Portezuelo,Ñuble,282.3,5061,17.9,0.599
08413,Quillón,Ñuble,423.0,15525,36.7,0.590
08414,Quirihue,Ñuble,589.0,11851,20.1,0.594
08415,Ránquil,Ñuble,248.3,4983,20.1,0.586
08416,San Carlos,Ñuble,874.0,51335,58.7,0.653
08417,San Fabián,Ñuble,1568.3,3503,2.2,0.618
08418,San Ignacio,Ñuble,363.6,15770,43.4,0.618
08419,San Nicolás,Ñuble,490.5,10051,20.5,0.625
08420,Treguaco,Ñuble,313.1,4995,16.0,0.562
08421,Yungay,Ñuble,823.5,18234,22.1,0.669
09101,Temuco,Cautín,464.0,269992,8039.0,0.763
09102,Carahue,Cautín,1340.6,25718,19.2,0.604
09103,Cunco,Cautín,1906.5,19024,10.0,0.659
09104,Curarrehue,Cautín,1170.7,7540,6.4,0.603
09105,Freire,Cautín,935.2,27616,29.5,0.614
09106,Galvarino,Cautín,568.2,11324,19.9,0.611
