RegionID,Region,Provincia,Comuna,Superficie,Poblacion,Densidad,IDH_2005
7,Metropolitana de Santiago,Cordillera,Pirque,445.3,20732,37.2,0.807
7,Metropolitana de Santiago,Santiago,Providencia,14.3,126487,8429.1,0.911
7,Metropolitana de Santiago,Santiago,Pudahuel,197,225509,993.7,0.735
7,Metropolitana de Santiago,Cordillera,Puente Alto,88,757721,6664.8,0.773
7,Metropolitana de Santiago,Santiago,Quilicura,58,203946,3486.6,0.782
7,Metropolitana de Santiago,Santiago,Quinta Normal,13,101737,8388,0.723
7,Metropolitana de Santiago,Santiago,Recoleta,16,152985,9273.8,0.697
7,Metropolitana de Santiago,Santiago,Renca,24,142136,8388.1,0.709
7,Metropolitana de Santiago,Maipo,San Bernardo,155,277802,1974,0.712
7,Metropolitana de Santiago,Santiago,San Joaquín,9.7,94255,10064.4,0.719
7,Metropolitana de Santiago,Cordillera,San José de Maipo,4994.8,14455,0.3,0.759
7,Metropolitana de Santiago,Santiago,San Miguel,10,90846,7787.2,0.765
7,Metropolitana de Santiago,Melipilla,San Pedro,788,8062,9.6,0.701
7,Metropolitana de Santiago,Santiago,San Ramón,7,85195,14600.9,0.679
7,Metropolitana de Santiago,Santiago,Santiago,22,237369,8654.8,0.807
7,Metropolitana de Santiago,Talagante,Talagante,126,78887,474.6,0.749
7,Metropolitana de Santiago,Chacabuco,Til Til,653,16405,22.6,0.706
7,Metropolitana de Santiago,Santiago,Vitacura,28.3,84195,2910.7,0.949
8,Libertador General Bernardo O'Higgins,Colchagua,Chépica,503,15820,27.5,0.637
8,Libertador General Bernardo O'Higgins,Colchagua,Chimbarongo,498,35664,64.9,0.674
8,Libertador General Bernardo O'Higgins,Cachapoal,Codegua,287,12725,37.6,0.706
8,Libertador General Bernardo O'Higgins,Cachapoal,Coinco,98,7248,65.1,0.678
8,Libertador General Bernardo O'Higgins,Cachapoal,Coltauco,225,17620,72.1,0.644
8,Libertador General Bernardo O'Higgins,Cachapoal,Doñihue,78,21023,86.7,0.685
8,Libertador General Bernardo O'Higgins,Cachapoal,Graneros,113,30372,252.2,0.691
8,Libertador General Bernardo O'Higgins,Cardenal Caro,La Estrella,435,4821,9.7,0.696
8,Libertador General Bernardo O'Higgins,Cachapoal,Las Cabras,749,23857,27,0.661
8,Libertador General Bernardo O'Higgins,Cardenal Caro,Litueche,619,5591,8.9,0.645
8,Libertador General Bernardo O'Higgins,Colchagua,Lolol,597,6630,10.4,0.628
8,Libertador General Bernardo O'Higgins,Cachapoal,Machalí,2597,44566,11.1,0.73
8,Libertador General Bernardo O'Higgins,Cachapoal,Malloa,113,14972,113.9,0.649
8,Libertador General Bernardo O'Higgins,Cardenal Caro,Marchihue,660,7557,10.4,0.67
8,Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,524,23430,44.7,0.691
8,Libertador General Bernardo O'Higgins,Colchagua,Nancagua,111,18921,140.9,0.665
8,Libertador General Bernardo O'Higgins,Cardenal Caro,Navidad,300,5650,18,0.651
8,Libertador General Bernardo O'Higgins,Cachapoal,Olivar,45,13483,256.5,0.661
8,Libertador General Bernardo O'Higgins,Colchagua,Palmilla,237,12373,47.3,0.676
8,Libertador General Bernardo O'Higgins,Cardenal Caro,Paredones,562,6802,11.9,0.628
8,Libertador General Bernardo O'Higgins,Colchagua,Peralillo,282.6,10933,38.6,0.653
8,Libertador General Bernardo O'Higgins,Cachapoal,Peumo,153.1,14158,92.1,0.674
8,Libertador General Bernardo O'Higgins,Cachapoal,Pichidegua,320,18637,55.5,0.652
8,Libertador General Bernardo O'Higgins,Cardenal Caro,Pichilemu,749.1,13916,16.5,0.677
8,Libertador General Bernardo O'Higgins,Colchagua,Placilla,146.9,9624,65.5,0.621
8,Libertador General Bernardo O'Higgins,Colchagua,Pumanque,441,3458,7.8,0.635
8,Libertador General Bernardo O'Higgins,Cachapoal,Quinta de Tilcoco,93,12144,122.4,0.678
8,Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,260.3,250638,823.4,0.732
8,Libertador General Bernardo O'Higgins,Cachapoal,Rengo,755,56188,66.8,0.68
8,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,673,26235,33,0.668
8,Libertador General Bernardo O'Higgins,Colchagua,San Fernando,2441,75221,30.8,0.725
8,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,497.8,47716,66.6,0.694
8,Libertador General Bernardo O'Higgins,Colchagua,Santa Cruz,419.5,35255,77.2,0.719
9,Maule,Cauquenes,Cauquenes,2216,40245,19.4,0.656
9,Maule,Cauquenes,Chanco,530,9571,17.8,0.612
9,Maule,Linares,Colbún,2900,19361,6,0.638
9,Maule,Talca,Constitución,1344,41416,34.3,0.715
9,Maule,Talca,Curepto,1073.8,9714,9.7,0.644
9,Maule,Curicó,Curicó,1328,177766,133.8,0.71
9,Maule,Talca,Empedrado,565,4250,7.4,0.637
9,Maule,Curicó,Hualañé,629,9977,15.4,0.631
9,Maule,Curicó,Licantén,273,6689,25.2,0.705
9,Maule,Linares,Linares,1466,107311,73.1,0.71
9,Maule,Linares,Longaví,1454,28968,19.3,0.626
9,Maule,Talca,Maule,190,21957,88.6,0.681
9,Maule,Curicó,Molina,1552,40329,25.8,0.663
9,Maule,Linares,Parral,1638,39404,23.2,0.656
9,Maule,Talca,Pelarco,332,7959,21.8,0.653
9,Maule,Cauquenes,Pelluhue,371,6636,17.2,0.694
9,Maule,Talca,Pencahue,956.8,9187,8.6,0.649
9,Maule,Curicó,Rauco,309,9878,27.7,0.659
